Iteration_1_FACT 0
Iteration_1_BCAST 1
Iteration_1_SWAP 2
Iteration_1_UPDATE 3
Iteration_2_FACT 4
Iteration_2_BCAST 5
Iteration_2_SWAP 6
Iteration_2_UPDATE 7
Iteration_3_FACT 8
Iteration_3_BCAST 9
Iteration_3_SWAP 10
Iteration_3_UPDATE 11
Iteration_4_FACT 12
Iteration_4_BCAST 13
Iteration_4_SWAP 14
Iteration_4_UPDATE 15
Iteration_5_FACT 16
Iteration_5_BCAST 17
Iteration_5_SWAP 18
Iteration_5_UPDATE 19
Iteration_6_FACT 20
Iteration_6_BCAST 21
Iteration_6_SWAP 22
Iteration_6_UPDATE 23
Iteration_7_FACT 24
Iteration_7_BCAST 25
Iteration_7_SWAP 26
Iteration_7_UPDATE 27
Iteration_8_FACT 28
Iteration_8_BCAST 29
Iteration_8_SWAP 30
Iteration_8_UPDATE 31
Iteration_9_FACT 32
Iteration_9_BCAST 33
Iteration_9_SWAP 34
Iteration_9_UPDATE 35
Iteration_10_FACT 36
Iteration_10_BCAST 37
Iteration_10_SWAP 38
Iteration_10_UPDATE 39
Iteration_11_FACT 40
Iteration_11_BCAST 41
Iteration_11_SWAP 42
Iteration_11_UPDATE 43
Iteration_12_FACT 44
Iteration_12_BCAST 45
Iteration_12_SWAP 46
Iteration_12_UPDATE 47
Iteration_13_FACT 48
Iteration_13_BCAST 49
Iteration_13_SWAP 50
Iteration_13_UPDATE 51
Iteration_14_FACT 52
Iteration_14_BCAST 53
Iteration_14_SWAP 54
Iteration_14_UPDATE 55
Iteration_15_FACT 56
Iteration_15_BCAST 57
Iteration_15_SWAP 58
Iteration_15_UPDATE 59
Iteration_16_FACT 60
Iteration_16_BCAST 61
Iteration_16_SWAP 62
Iteration_16_UPDATE 63
Iteration_5_BCAST Iteration_6_FACT 60
Iteration_5_SWAP Iteration_6_FACT 61
Iteration_5_UPDATE Iteration_6_FACT 62
Iteration_6_BCAST Iteration_7_FACT 63
Iteration_6_SWAP Iteration_7_FACT 64
Iteration_6_UPDATE Iteration_7_FACT 65
Iteration_7_BCAST Iteration_8_FACT 66
Iteration_7_SWAP Iteration_8_FACT 67
Iteration_7_UPDATE Iteration_8_FACT 68
Iteration_8_BCAST Iteration_9_FACT 69
Iteration_8_SWAP Iteration_9_FACT 70
Iteration_8_UPDATE Iteration_9_FACT 71
Iteration_9_BCAST Iteration_10_FACT 72
Iteration_9_SWAP Iteration_10_FACT 73
Iteration_9_UPDATE Iteration_10_FACT 74
Iteration_10_BCAST Iteration_11_FACT 75
Iteration_10_SWAP Iteration_11_FACT 76
Iteration_10_UPDATE Iteration_11_FACT 77
Iteration_11_BCAST Iteration_12_FACT 78
Iteration_11_SWAP Iteration_12_FACT 79
Iteration_11_UPDATE Iteration_12_FACT 80
Iteration_12_BCAST Iteration_13_FACT 81
Iteration_12_SWAP Iteration_13_FACT 82
Iteration_12_UPDATE Iteration_13_FACT 83
Iteration_13_BCAST Iteration_14_FACT 84
Iteration_13_SWAP Iteration_14_FACT 85
Iteration_13_UPDATE Iteration_14_FACT 86
Iteration_14_BCAST Iteration_15_FACT 87
Iteration_14_SWAP Iteration_15_FACT 88
Iteration_14_UPDATE Iteration_15_FACT 89
Iteration_15_BCAST Iteration_16_FACT 90
Iteration_15_SWAP Iteration_16_FACT 91
Iteration_15_UPDATE Iteration_16_FACT 92
Set parameter Username
Academic license - for non-commercial use only - expires 2024-11-05
Set parameter NonConvex to value 2
Set parameter Threads to value 140
Set parameter MIPGap to value 1e-200
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 10.0.3 build v10.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU E7-8890 v3 @ 2.50GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 72 physical cores, 144 logical processors, using up to 140 threads

Optimize a model with 2823 rows, 14078 columns and 6870 nonzeros
Model fingerprint: 0xcb4f42b4
Model has 1717 quadratic constraints
Model has 12704 general constraints
Variable types: 895 continuous, 13183 integer (11040 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+08]
  QMatrix range    [1e+00, 3e+02]
  QLMatrix range   [1e+00, 4e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+08]
  QRHS range       [1e+00, 4e+00]
  GenCon rhs range [1e+00, 4e+00]
  GenCon coe range [1e+00, 1e+00]
Warning: Model contains large matrix coefficients
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 2817 rows and 14048 columns
Presolve time: 0.08s
Presolved: 38 rows, 31 columns, 88 nonzeros
Presolved model has 4 SOS constraint(s)
Presolved model has 8 bilinear constraint(s)
Variable types: 7 continuous, 24 integer (4 binary)

Root relaxation: objective 3.992977e+07, 1 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

*    0     0               0    3.992977e+07 3.9930e+07  0.00%     -    0s

Explored 1 nodes (1 simplex iterations) in 0.09 seconds (0.05 work units)
Thread count was 140 (of 144 available processors)

Solution count 1: 3.99298e+07 

Optimal solution found (tolerance 1.00e-200)
Best objective 3.992977408000e+07, best bound 3.992977408000e+07, gap 0.0000%
TP 1.0
PP 1.0
DP 8.0
Shape[0] 1.0
Shape[1] 8.0
Link_BW[0] 25.0
Link_BW[1] 25.0
DRAM_BW 1152.0
tile_size 1.0
num_tile 1.0
shard_M[0] 16384.0
shard_M[1] 0.0
shard_M[2] 0.0
shard_M[3] 16384.0
shard_M[4] 15360.0
shard_M[5] 0.0
shard_M[6] 0.0
shard_M[7] 15360.0
shard_M[8] 14336.0
shard_M[9] 0.0
shard_M[10] 0.0
shard_M[11] 14336.0
shard_M[12] 13312.0
shard_M[13] 0.0
shard_M[14] 0.0
shard_M[15] 13312.0
shard_M[16] 12288.0
shard_M[17] 0.0
shard_M[18] 0.0
shard_M[19] 12288.0
shard_M[20] 11264.0
shard_M[21] 0.0
shard_M[22] 0.0
shard_M[23] 11264.0
shard_M[24] 10240.0
shard_M[25] 0.0
shard_M[26] 0.0
shard_M[27] 10240.0
shard_M[28] 9216.0
shard_M[29] 0.0
shard_M[30] 0.0
shard_M[31] 9216.0
shard_M[32] 8192.0
shard_M[33] 0.0
shard_M[34] 0.0
shard_M[35] 8192.0
shard_M[36] 7168.0
shard_M[37] 0.0
shard_M[38] 0.0
shard_M[39] 7168.0
shard_M[40] 6144.0
shard_M[41] 0.0
shard_M[42] 0.0
shard_M[43] 6144.0
shard_M[44] 5120.0
shard_M[45] 0.0
shard_M[46] 0.0
shard_M[47] 5120.0
shard_M[48] 4096.0
shard_M[49] 0.0
shard_M[50] 0.0
shard_M[51] 4096.0
shard_M[52] 3072.0
shard_M[53] 0.0
shard_M[54] 0.0
shard_M[55] 3072.0
shard_M[56] 2048.0
shard_M[57] 0.0
shard_M[58] 0.0
shard_M[59] 2048.0
shard_M[60] 1024.0
shard_M[61] 0.0
shard_M[62] 0.0
shard_M[63] 1024.0
shard_K[0] 1024.0
shard_K[1] 0.0
shard_K[2] 0.0
shard_K[3] 1024.0
shard_K[4] 1024.0
shard_K[5] 0.0
shard_K[6] 0.0
shard_K[7] 1024.0
shard_K[8] 1024.0
shard_K[9] 0.0
shard_K[10] 0.0
shard_K[11] 1024.0
shard_K[12] 1024.0
shard_K[13] 0.0
shard_K[14] 0.0
shard_K[15] 1024.0
shard_K[16] 1024.0
shard_K[17] 0.0
shard_K[18] 0.0
shard_K[19] 1024.0
shard_K[20] 1024.0
shard_K[21] 0.0
shard_K[22] 0.0
shard_K[23] 1024.0
shard_K[24] 1024.0
shard_K[25] 0.0
shard_K[26] 0.0
shard_K[27] 1024.0
shard_K[28] 1024.0
shard_K[29] 0.0
shard_K[30] 0.0
shard_K[31] 1024.0
shard_K[32] 1024.0
shard_K[33] 0.0
shard_K[34] 0.0
shard_K[35] 1024.0
shard_K[36] 1024.0
shard_K[37] 0.0
shard_K[38] 0.0
shard_K[39] 1024.0
shard_K[40] 1024.0
shard_K[41] 0.0
shard_K[42] 0.0
shard_K[43] 1024.0
shard_K[44] 1024.0
shard_K[45] 0.0
shard_K[46] 0.0
shard_K[47] 1024.0
shard_K[48] 1024.0
shard_K[49] 0.0
shard_K[50] 0.0
shard_K[51] 1024.0
shard_K[52] 1024.0
shard_K[53] 0.0
shard_K[54] 0.0
shard_K[55] 1024.0
shard_K[56] 1024.0
shard_K[57] 0.0
shard_K[58] 0.0
shard_K[59] 1024.0
shard_K[60] 1024.0
shard_K[61] -0.0
shard_K[62] -0.0
shard_K[63] 1024.0
shard_N[0] 1024.0
shard_N[1] 0.0
shard_N[2] 0.0
shard_N[3] 2048.0
shard_N[4] 1024.0
shard_N[5] 0.0
shard_N[6] 0.0
shard_N[7] 1920.0
shard_N[8] 1024.0
shard_N[9] 0.0
shard_N[10] 0.0
shard_N[11] 1792.0
shard_N[12] 1024.0
shard_N[13] 0.0
shard_N[14] 0.0
shard_N[15] 1664.0
shard_N[16] 1024.0
shard_N[17] 0.0
shard_N[18] 0.0
shard_N[19] 1536.0
shard_N[20] 1024.0
shard_N[21] 0.0
shard_N[22] 0.0
shard_N[23] 1408.0
shard_N[24] 1024.0
shard_N[25] 0.0
shard_N[26] 0.0
shard_N[27] 1280.0
shard_N[28] 1024.0
shard_N[29] 0.0
shard_N[30] 0.0
shard_N[31] 1152.0
shard_N[32] 1024.0
shard_N[33] 0.0
shard_N[34] 0.0
shard_N[35] 1024.0
shard_N[36] 1024.0
shard_N[37] 0.0
shard_N[38] 0.0
shard_N[39] 896.0
shard_N[40] 1024.0
shard_N[41] 0.0
shard_N[42] 0.0
shard_N[43] 768.0
shard_N[44] 1024.0
shard_N[45] 0.0
shard_N[46] 0.0
shard_N[47] 640.0
shard_N[48] 1024.0
shard_N[49] 0.0
shard_N[50] 0.0
shard_N[51] 512.0
shard_N[52] 1024.0
shard_N[53] 0.0
shard_N[54] 0.0
shard_N[55] 384.0
shard_N[56] 1024.0
shard_N[57] 0.0
shard_N[58] 0.0
shard_N[59] 256.0
shard_N[60] 1024.0
shard_N[61] 0.0
shard_N[62] 0.0
shard_N[63] 128.0
shard_intermediate_buffer_size[0] 0.0
shard_intermediate_buffer_size[1] 0.0
shard_intermediate_buffer_size[2] 0.0
shard_intermediate_buffer_size[3] 0.0
shard_intermediate_buffer_size[4] 0.0
shard_intermediate_buffer_size[5] 0.0
shard_intermediate_buffer_size[6] 0.0
shard_intermediate_buffer_size[7] 0.0
shard_intermediate_buffer_size[8] 0.0
shard_intermediate_buffer_size[9] 0.0
shard_intermediate_buffer_size[10] 0.0
shard_intermediate_buffer_size[11] 0.0
shard_intermediate_buffer_size[12] 0.0
shard_intermediate_buffer_size[13] 0.0
shard_intermediate_buffer_size[14] 0.0
shard_intermediate_buffer_size[15] 0.0
shard_intermediate_buffer_size[16] 0.0
shard_intermediate_buffer_size[17] 0.0
shard_intermediate_buffer_size[18] 0.0
shard_intermediate_buffer_size[19] 0.0
shard_intermediate_buffer_size[20] 0.0
shard_intermediate_buffer_size[21] 0.0
shard_intermediate_buffer_size[22] 0.0
shard_intermediate_buffer_size[23] 0.0
shard_intermediate_buffer_size[24] 0.0
shard_intermediate_buffer_size[25] 0.0
shard_intermediate_buffer_size[26] 0.0
shard_intermediate_buffer_size[27] 0.0
shard_intermediate_buffer_size[28] 0.0
shard_intermediate_buffer_size[29] 0.0
shard_intermediate_buffer_size[30] 0.0
shard_intermediate_buffer_size[31] 0.0
shard_intermediate_buffer_size[32] 0.0
shard_intermediate_buffer_size[33] 0.0
shard_intermediate_buffer_size[34] 0.0
shard_intermediate_buffer_size[35] 0.0
shard_intermediate_buffer_size[36] 0.0
shard_intermediate_buffer_size[37] 0.0
shard_intermediate_buffer_size[38] 0.0
shard_intermediate_buffer_size[39] 0.0
shard_intermediate_buffer_size[40] 0.0
shard_intermediate_buffer_size[41] 0.0
shard_intermediate_buffer_size[42] 0.0
shard_intermediate_buffer_size[43] 0.0
shard_intermediate_buffer_size[44] 0.0
shard_intermediate_buffer_size[45] 0.0
shard_intermediate_buffer_size[46] 0.0
shard_intermediate_buffer_size[47] 0.0
shard_intermediate_buffer_size[48] 0.0
shard_intermediate_buffer_size[49] 0.0
shard_intermediate_buffer_size[50] 0.0
shard_intermediate_buffer_size[51] 0.0
shard_intermediate_buffer_size[52] 0.0
shard_intermediate_buffer_size[53] 0.0
shard_intermediate_buffer_size[54] 0.0
shard_intermediate_buffer_size[55] 0.0
shard_intermediate_buffer_size[56] 0.0
shard_intermediate_buffer_size[57] 0.0
shard_intermediate_buffer_size[58] 0.0
shard_intermediate_buffer_size[59] 0.0
shard_intermediate_buffer_size[60] 0.0
shard_intermediate_buffer_size[61] 0.0
shard_intermediate_buffer_size[62] 0.0
shard_intermediate_buffer_size[63] 0.0
shard_intermediate_buffer_size[64] 0.0
shard_intermediate_buffer_size[65] 0.0
shard_intermediate_buffer_size[66] 0.0
shard_intermediate_buffer_size[67] 0.0
shard_intermediate_buffer_size[68] 0.0
shard_intermediate_buffer_size[69] 0.0
shard_intermediate_buffer_size[70] 0.0
shard_intermediate_buffer_size[71] 0.0
shard_intermediate_buffer_size[72] 0.0
shard_intermediate_buffer_size[73] 0.0
shard_intermediate_buffer_size[74] 0.0
shard_intermediate_buffer_size[75] 0.0
shard_intermediate_buffer_size[76] 0.0
shard_intermediate_buffer_size[77] 0.0
shard_intermediate_buffer_size[78] 0.0
shard_intermediate_buffer_size[79] 0.0
shard_intermediate_buffer_size[80] 0.0
shard_intermediate_buffer_size[81] 0.0
shard_intermediate_buffer_size[82] 0.0
shard_intermediate_buffer_size[83] 0.0
shard_intermediate_buffer_size[84] 0.0
shard_intermediate_buffer_size[85] 0.0
shard_intermediate_buffer_size[86] 0.0
shard_intermediate_buffer_size[87] 0.0
shard_intermediate_buffer_size[88] 0.0
shard_intermediate_buffer_size[89] 0.0
shard_intermediate_buffer_size[90] 0.0
shard_intermediate_buffer_size[91] 0.0
shard_intermediate_buffer_size[92] 0.0
shard_initiation_buffer_size[0] 0.0
shard_initiation_buffer_size[1] 0.0
shard_initiation_buffer_size[2] 0.0
shard_initiation_buffer_size[3] 0.0
shard_initiation_buffer_size[4] 0.0
shard_initiation_buffer_size[5] 0.0
shard_initiation_buffer_size[6] 0.0
shard_initiation_buffer_size[7] 0.0
shard_initiation_buffer_size[8] 0.0
shard_initiation_buffer_size[9] 0.0
shard_initiation_buffer_size[10] 0.0
shard_initiation_buffer_size[11] 0.0
shard_initiation_buffer_size[12] 0.0
shard_initiation_buffer_size[13] 0.0
shard_initiation_buffer_size[14] 0.0
shard_initiation_buffer_size[15] 0.0
shard_initiation_buffer_size[16] 0.0
shard_initiation_buffer_size[17] 0.0
shard_initiation_buffer_size[18] 0.0
shard_initiation_buffer_size[19] 0.0
shard_initiation_buffer_size[20] 0.0
shard_initiation_buffer_size[21] 0.0
shard_initiation_buffer_size[22] 0.0
shard_initiation_buffer_size[23] 0.0
shard_initiation_buffer_size[24] 0.0
shard_initiation_buffer_size[25] 0.0
shard_initiation_buffer_size[26] 0.0
shard_initiation_buffer_size[27] 0.0
shard_initiation_buffer_size[28] 0.0
shard_initiation_buffer_size[29] 0.0
shard_initiation_buffer_size[30] 0.0
shard_initiation_buffer_size[31] 0.0
shard_initiation_buffer_size[32] 0.0
shard_initiation_buffer_size[33] 0.0
shard_initiation_buffer_size[34] 0.0
shard_initiation_buffer_size[35] 0.0
shard_initiation_buffer_size[36] 0.0
shard_initiation_buffer_size[37] 0.0
shard_initiation_buffer_size[38] 0.0
shard_initiation_buffer_size[39] 0.0
shard_initiation_buffer_size[40] 0.0
shard_initiation_buffer_size[41] 0.0
shard_initiation_buffer_size[42] 0.0
shard_initiation_buffer_size[43] 0.0
shard_initiation_buffer_size[44] 0.0
shard_initiation_buffer_size[45] 0.0
shard_initiation_buffer_size[46] 0.0
shard_initiation_buffer_size[47] 0.0
shard_initiation_buffer_size[48] 0.0
shard_initiation_buffer_size[49] 0.0
shard_initiation_buffer_size[50] 0.0
shard_initiation_buffer_size[51] 0.0
shard_initiation_buffer_size[52] 0.0
shard_initiation_buffer_size[53] 0.0
shard_initiation_buffer_size[54] 0.0
shard_initiation_buffer_size[55] 0.0
shard_initiation_buffer_size[56] 0.0
shard_initiation_buffer_size[57] 0.0
shard_initiation_buffer_size[58] 0.0
shard_initiation_buffer_size[59] 0.0
shard_initiation_buffer_size[60] 0.0
shard_initiation_buffer_size[61] 0.0
shard_initiation_buffer_size[62] 0.0
shard_initiation_buffer_size[63] 0.0
ALL_REDUCE_communication_size[0] -0.0
ALL_REDUCE_communication_size[1] -0.0
ALL_REDUCE_communication_size[2] -0.0
ALL_REDUCE_communication_size[3] -0.0
ALL_REDUCE_communication_size[4] -0.0
ALL_REDUCE_communication_size[5] -0.0
ALL_REDUCE_communication_size[6] -0.0
ALL_REDUCE_communication_size[7] -0.0
ALL_REDUCE_communication_size[8] -0.0
ALL_REDUCE_communication_size[9] -0.0
ALL_REDUCE_communication_size[10] -0.0
ALL_REDUCE_communication_size[11] -0.0
ALL_REDUCE_communication_size[12] -0.0
ALL_REDUCE_communication_size[13] -0.0
ALL_REDUCE_communication_size[14] -0.0
ALL_REDUCE_communication_size[15] -0.0
ALL_REDUCE_communication_size[16] -0.0
ALL_REDUCE_communication_size[17] -0.0
ALL_REDUCE_communication_size[18] -0.0
ALL_REDUCE_communication_size[19] -0.0
ALL_REDUCE_communication_size[20] -0.0
ALL_REDUCE_communication_size[21] -0.0
ALL_REDUCE_communication_size[22] -0.0
ALL_REDUCE_communication_size[23] -0.0
ALL_REDUCE_communication_size[24] -0.0
ALL_REDUCE_communication_size[25] -0.0
ALL_REDUCE_communication_size[26] -0.0
ALL_REDUCE_communication_size[27] -0.0
ALL_REDUCE_communication_size[28] -0.0
ALL_REDUCE_communication_size[29] -0.0
ALL_REDUCE_communication_size[30] -0.0
ALL_REDUCE_communication_size[31] -0.0
ALL_REDUCE_communication_size[32] -0.0
ALL_REDUCE_communication_size[33] -0.0
ALL_REDUCE_communication_size[34] -0.0
ALL_REDUCE_communication_size[35] -0.0
ALL_REDUCE_communication_size[36] -0.0
ALL_REDUCE_communication_size[37] -0.0
ALL_REDUCE_communication_size[38] -0.0
ALL_REDUCE_communication_size[39] -0.0
ALL_REDUCE_communication_size[40] -0.0
ALL_REDUCE_communication_size[41] -0.0
ALL_REDUCE_communication_size[42] -0.0
ALL_REDUCE_communication_size[43] -0.0
ALL_REDUCE_communication_size[44] -0.0
ALL_REDUCE_communication_size[45] -0.0
ALL_REDUCE_communication_size[46] -0.0
ALL_REDUCE_communication_size[47] -0.0
ALL_REDUCE_communication_size[48] -0.0
ALL_REDUCE_communication_size[49] -0.0
ALL_REDUCE_communication_size[50] -0.0
ALL_REDUCE_communication_size[51] -0.0
ALL_REDUCE_communication_size[52] -0.0
ALL_REDUCE_communication_size[53] -0.0
ALL_REDUCE_communication_size[54] -0.0
ALL_REDUCE_communication_size[55] -0.0
ALL_REDUCE_communication_size[56] -0.0
ALL_REDUCE_communication_size[57] -0.0
ALL_REDUCE_communication_size[58] -0.0
ALL_REDUCE_communication_size[59] -0.0
ALL_REDUCE_communication_size[60] -0.0
ALL_REDUCE_communication_size[61] -0.0
ALL_REDUCE_communication_size[62] -0.0
ALL_REDUCE_communication_size[63] -0.0
ALL_REDUCE_PERIODIC_communication_size[0] -0.0
ALL_REDUCE_PERIODIC_communication_size[1] -0.0
ALL_REDUCE_PERIODIC_communication_size[2] -0.0
ALL_REDUCE_PERIODIC_communication_size[3] -0.0
ALL_REDUCE_PERIODIC_communication_size[4] -0.0
ALL_REDUCE_PERIODIC_communication_size[5] -0.0
ALL_REDUCE_PERIODIC_communication_size[6] -0.0
ALL_REDUCE_PERIODIC_communication_size[7] -0.0
ALL_REDUCE_PERIODIC_communication_size[8] -0.0
ALL_REDUCE_PERIODIC_communication_size[9] -0.0
ALL_REDUCE_PERIODIC_communication_size[10] -0.0
ALL_REDUCE_PERIODIC_communication_size[11] -0.0
ALL_REDUCE_PERIODIC_communication_size[12] -0.0
ALL_REDUCE_PERIODIC_communication_size[13] -0.0
ALL_REDUCE_PERIODIC_communication_size[14] -0.0
ALL_REDUCE_PERIODIC_communication_size[15] -0.0
ALL_REDUCE_PERIODIC_communication_size[16] -0.0
ALL_REDUCE_PERIODIC_communication_size[17] -0.0
ALL_REDUCE_PERIODIC_communication_size[18] -0.0
ALL_REDUCE_PERIODIC_communication_size[19] -0.0
ALL_REDUCE_PERIODIC_communication_size[20] -0.0
ALL_REDUCE_PERIODIC_communication_size[21] -0.0
ALL_REDUCE_PERIODIC_communication_size[22] -0.0
ALL_REDUCE_PERIODIC_communication_size[23] -0.0
ALL_REDUCE_PERIODIC_communication_size[24] -0.0
ALL_REDUCE_PERIODIC_communication_size[25] -0.0
ALL_REDUCE_PERIODIC_communication_size[26] -0.0
ALL_REDUCE_PERIODIC_communication_size[27] -0.0
ALL_REDUCE_PERIODIC_communication_size[28] -0.0
ALL_REDUCE_PERIODIC_communication_size[29] -0.0
ALL_REDUCE_PERIODIC_communication_size[30] -0.0
ALL_REDUCE_PERIODIC_communication_size[31] -0.0
ALL_REDUCE_PERIODIC_communication_size[32] -0.0
ALL_REDUCE_PERIODIC_communication_size[33] -0.0
ALL_REDUCE_PERIODIC_communication_size[34] -0.0
ALL_REDUCE_PERIODIC_communication_size[35] -0.0
ALL_REDUCE_PERIODIC_communication_size[36] -0.0
ALL_REDUCE_PERIODIC_communication_size[37] -0.0
ALL_REDUCE_PERIODIC_communication_size[38] -0.0
ALL_REDUCE_PERIODIC_communication_size[39] -0.0
ALL_REDUCE_PERIODIC_communication_size[40] -0.0
ALL_REDUCE_PERIODIC_communication_size[41] -0.0
ALL_REDUCE_PERIODIC_communication_size[42] -0.0
ALL_REDUCE_PERIODIC_communication_size[43] -0.0
ALL_REDUCE_PERIODIC_communication_size[44] -0.0
ALL_REDUCE_PERIODIC_communication_size[45] -0.0
ALL_REDUCE_PERIODIC_communication_size[46] -0.0
ALL_REDUCE_PERIODIC_communication_size[47] -0.0
ALL_REDUCE_PERIODIC_communication_size[48] -0.0
ALL_REDUCE_PERIODIC_communication_size[49] -0.0
ALL_REDUCE_PERIODIC_communication_size[50] -0.0
ALL_REDUCE_PERIODIC_communication_size[51] -0.0
ALL_REDUCE_PERIODIC_communication_size[52] -0.0
ALL_REDUCE_PERIODIC_communication_size[53] -0.0
ALL_REDUCE_PERIODIC_communication_size[54] -0.0
ALL_REDUCE_PERIODIC_communication_size[55] -0.0
ALL_REDUCE_PERIODIC_communication_size[56] -0.0
ALL_REDUCE_PERIODIC_communication_size[57] -0.0
ALL_REDUCE_PERIODIC_communication_size[58] -0.0
ALL_REDUCE_PERIODIC_communication_size[59] -0.0
ALL_REDUCE_PERIODIC_communication_size[60] -0.0
ALL_REDUCE_PERIODIC_communication_size[61] -0.0
ALL_REDUCE_PERIODIC_communication_size[62] -0.0
